_Training Report (2024-09-13 to 2024-09-13)




Training Report
Athlete,Team,Trim/Split Name,Date,Start Time,Duration  Total (min.sec),Distance  Total (m),Distance Rate (m/min),Speed Avg (km/h),Speed Max (km/h),Speed AvgSpeed Zone Total (km/h),Speed MaxSpeed Zone Total (km/h),DistanceSpeed Zone Total  (m),DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),DurationSpeed Zone 1 (min:sec),DurationSpeed Zone 2 (min:sec),DurationSpeed Zone 3 (min:sec),DurationSpeed Zone 4 (min:sec),DurationSpeed Zone 5 (min:sec),Acceleration MaxAcceleration Zone Total (m/s/s),
"2, Athlete",RussEquestrian,Ride 1,13/09/2024,06:15:00 AM,18:00,"3314","184","11.1","30.2","17.1","30.2","3314","1023","299","1765","227","0",11:34,1:19,4:35,0:31,0:00,"5.0",
"4, Athlete",RussEquestrian,Ride 1,13/09/2024,06:15:00 AM,18:00,"3338","186","11.1","30.4","17.2","30.4","3338","1021","301","1784","232","0",11:33,1:18,4:36,0:32,0:00,"6.1",
"6, Athlete",RussEquestrian,Ride 1,13/09/2024,06:15:00 AM,18:00,"3565","200","12.0","30.3","17.3","30.3","3566","1110","372","1667","417","0",10:47,1:39,4:26,0:56,0:00,"3.5",
"2, Athlete",RussEquestrian,Ride 2,13/09/2024,06:46:00 AM,17:00,"2860","168","10.1","52.5","23.9","52.5","2860","1173","126","350","767","444",13:29,0:32,0:56,1:28,0:35,"3.4",
"4, Athlete",RussEquestrian,Ride 2,13/09/2024,06:46:00 AM,17:00,"2829","167","10.0","54.8","24.0","54.8","2829","1151","124","417","683","454",13:30,0:32,1:05,1:18,0:35,"7.1",
"6, Athlete",RussEquestrian,Ride 3,13/09/2024,08:06:00 AM,16:00,"3923","248","14.9","46.0","22.7","46.0","3923","876","443","986","1574","44",7:50,2:05,2:36,3:13,0:04,"3.8",
"2, Athlete",RussEquestrian,Ride 3,13/09/2024,08:06:00 AM,16:00,"3305","207","12.4","35.4","17.7","35.4","3305","987","124","439","1755","0",10:36,0:33,1:09,3:41,0:00,"2.9",
"4, Athlete",RussEquestrian,Ride 3,13/09/2024,08:06:00 AM,16:00,"3291","206","12.4","32.8","17.7","32.8","3291","973","112","441","1765","0",10:38,0:30,1:09,3:42,0:00,"3.4",
"2, Athlete",RussEquestrian,Ride 4,13/09/2024,08:30:00 AM,18:00,"3307","184","11.0","32.7","17.2","32.7","3306","1018","163","901","1224","0",12:14,0:44,2:24,2:37,0:00,"3.1",
"4, Athlete",RussEquestrian,Ride 4,13/09/2024,08:30:00 AM,18:00,"3257","181","10.9","33.6","17.1","33.6","3257","947","183","866","1261","0",12:08,0:50,2:19,2:42,0:00,"5.0",
Avg,**,**,**,**,17:12,"3299","193","11.6","37.9","19.2","37.9","3299","1028","225","962","990","94",11:25,1:00,2:31,2:04,0:07,"4.3",
Lowest,**,**,**,**,16:00,"2829","167","10.0","30.2","17.1","30.2","2829","876","112","350","227","0",7:50,0:30,0:56,0:31,0:00,"2.9",
Highest,**,**,**,**,18:00,"3923","248","14.9","54.8","24.0","54.8","3923","1173","443","1784","1765","454",13:30,2:05,4:36,3:42,0:35,"7.1",
